Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,"10 3/4"" Tieback running list Test-Well",,,,,,,
,,,,,,,,,
,,Casing:,Thread:,Weight:,ID,OD cplg.,Capacity:,CE Displ,M/U Torque
,,,,lbs./ft.,[inch]:,[inch]:,[l/m]:,l/m,[ft.lbs]:
,,"10 3/4 L-80, 60,7#",,60.7,9.69,10.75,47.618,58.557,"38,650 - 42,950 - 47,250  "
,,,,,,,,,
,,-,,,,,,,Running list: 
,,Prepared by: -,,0,0,0,0,,Final
,,Approved by: -,,,,,,,Test-Rig
,,,,,,,,,
,Run,,,Joint/,Joint,Cum.,Depth,Depth,
,no.:,Item.,Threads,Stand,Length,Length,btm. item,top item,Remarks:
,,,,no.:,[m] :,[m] :,[m] :,[m] :,
,,,,,,,1495.68,,"9 5/8"" Btm PBR"
,29,"10 3/4"" 60,7# L-80",,,12.804,1085.9969999999998,381.23400000000004,368.43000000000006,
,,"10 3/4"" 60,7# L-80",,,12.805,1098.802,368.43000000000006,355.62500000000006,Casing stand no. 29
,,"10 3/4"" 60,7# L-80",,,12.801,1111.6029999999998,355.62500000000006,342.82400000000007,
,30,"10 3/4"" 60,7# L-80",,,12.806,1124.4089999999999,342.82400000000007,330.0180000000001,
,,"10 3/4"" 60,7# L-80",,,12.802,1137.2109999999998,330.0180000000001,317.21600000000007,Casing stand no. 30
,,"10 3/4"" 60,7# L-80",,,12.805,1150.0159999999998,317.21600000000007,304.41100000000006,
,31,"10 3/4"" 60,7# L-80",,,12.807,1162.8229999999999,304.41100000000006,291.60400000000004,
,,"10 3/4"" 60,7# L-80",,,12.807,1175.6299999999999,291.60400000000004,278.797,Casing stand no. 31
,,"10 3/4"" 60,7# L-80",,,12.807,1188.437,278.797,265.99,
,32,"10 3/4"" 60,7# L-80",,,12.8,1201.2369999999999,265.99,253.19,
,,"10 3/4"" 60,7# L-80",,,12.804,1214.041,253.19,240.386,Casing stand no. 32
,,"10 3/4"" 60,7# L-80",,,12.802,1226.8429999999998,240.386,227.584,
,33,"10 3/4"" 60,7# L-80",,Pup,3.04,1229.8829999999998,227.584,224.544,
,,"10 3/4"" 60,7# L-80",,Joint ,12.801,1242.6839999999997,224.544,211.74300000000002,
,,"10 3/4"" 60,7# L-80",,Joint ,12.805,1255.4889999999998,211.74300000000002,198.93800000000002,
,,"10 3/4"" 60,7# L-80",,Pup,1.85,1257.3389999999997,198.93800000000002,197.08800000000002,
,,Valve,,valve,4.45,1261.7889999999998,197.08800000000002,192.63800000000003,
,,"10 3/4"" 60,7# L-80",,Pup,3.05,1264.8389999999997,192.63800000000003,189.58800000000002,
,34,"10 3/4"" 60,7# L-80",,,12.803,1277.6419999999998,189.58800000000002,176.78500000000003,
,,"10 3/4"" 60,7# L-80",,,12.805,1290.447,176.78500000000003,163.98000000000002,Casing stand no. 33
,,"10 3/4"" 60,7# L-80",,,12.8,1303.2469999999998,163.98000000000002,151.18,
,35,,,,6.65,1309.897,151.18,144.53,
,,"10 ¾"" Casing Hanger",,,1.21,1311.107,144.53,143.32,
,,,,,4.55,1315.657,143.32,138.76999999999998,
,, 5 7/8 DP to surface ,,,,,,,
,,4 stands,,,154.84,,,,
,,,,,,,,,
,,,,,,,,,
